"REF_DATE","GEO","DGUID","Age (15A)","Gender (3)","Statistics (3)","Main mode of commuting (11A)","Commuting destination (5)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Total - Main mode of commuting","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4613.2.1.1.1.4","110","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Total - Main mode of commuting","Commute to a different province or territory","","0","units","0","","4613.2.1.1.1.5","50","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Car, truck or van","Total - Commuting destination","","0","units","0","","4613.2.1.1.2.1","915","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Car, truck or van","Commute within census subdivision (CSD) of residence","","0","units","0","","4613.2.1.1.2.2","380","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Car, truck or van","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4613.2.1.1.2.3","410","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Car, truck or van","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4613.2.1.1.2.4","90","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Car, truck or van","Commute to a different province or territory","","0","units","0","","4613.2.1.1.2.5","35","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Driver (only worker in vehicle)","Total - Commuting destination","","0","units","0","","4613.2.1.1.3.1","645","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Driver (only worker in vehicle)","Commute within census subdivision (CSD) of residence","","0","units","0","","4613.2.1.1.3.2","250","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Driver (only worker in vehicle)","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4613.2.1.1.3.3","300","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Driver (only worker in vehicle)","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4613.2.1.1.3.4","75","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Driver (only worker in vehicle)","Commute to a different province or territory","","0","units","0","","4613.2.1.1.3.5","15","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Passenger (only worker in vehicle)","Total - Commuting destination","","0","units","0","","4613.2.1.1.4.1","130","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Passenger (only worker in vehicle)","Commute within census subdivision (CSD) of residence","","0","units","0","","4613.2.1.1.4.2","75","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Passenger (only worker in vehicle)","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4613.2.1.1.4.3","40","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","2 or more persons shared the ride to work","Total - Commuting destination","","0","units","0","","4613.2.1.1.5.1","145","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","2 or more persons shared the ride to work","Commute within census subdivision (CSD) of residence","","0","units","0","","4613.2.1.1.5.2","55","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","2 or more persons shared the ride to work","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4613.2.1.1.5.3","70","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","2 or more persons shared the ride to work","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4613.2.1.1.5.4","15","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Driver with 1 or more workers","Total - Commuting destination","","0","units","0","","4613.2.1.1.6.1","50","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Driver with 1 or more workers","Commute within census subdivision (CSD) of residence","","0","units","0","","4613.2.1.1.6.2","20","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Driver with 1 or more workers","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4613.2.1.1.6.3","15","","","","0"
